"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"595",608652,"Luke Farrell",2018,"595","100.0","0.244","0.220","0.295","0.463","0.338","0.336","0.253","30","123","89.3","19.0","2376","88.5","87.85","75","277","314","-0.7","5.83","116","152","111","150","301","322","302"
"591",458584,"Xavier Cedeno",2018,"591","100.0","0.210","0.081","0.281","0.290","0.266","0.299","0.244","26","124","88.2","4.2","2525","83.9","82.76","80","257","334","-1.1","5.35","108","150","110","147","295","315","296"
"588",453192,"Andrew Miller",2018,"588","100.0","0.233","0.158","0.329","0.391","0.321","0.297","0.217","31","133","87.5","8.9","2328","87.3","87.97","83","257","321","0.7","6.61","105","150","110","148","286","313","291"
"587",457915,"Javy Guerra",2018,"587","100.0","0.292","0.188","0.342","0.479","0.355","0.339","0.280","42","144","89.3","10.0","2123","89.2","88.35","58","297","286","-0.8","5.81","109","148","106","147","297","322","296"
"586",279571,"Matt Belisle",2018,"586","100.0","0.336","0.212","0.371","0.548","0.399","0.363","0.285","49","146","89.3","10.8","2093","87.3","88.24","75","315","268","0.9","6.81","108","148","122","145","293","320","296"
"583",621289,"Jaime Schultz",2018,"583","100.0","0.175","0.223","0.188","0.398","0.308","0.291","0.157","18","103","90.5","22.5","2403","92.7","91.22","84","254","326","-1.5","5.54","112","155","114","147","294","320","291"
"581",594965,"Daniel Ponce de Leon",2018,"581","100.0","0.205","0.103","0.259","0.308","0.268","0.314","0.239","24","117","85.7","16.9","2225","90.4","89.76","84","300","278","-0.6","5.89","113","147","107","149","297","315","296"
"581",628318,"Kazuhisa Makita",2018,"581","100.0","0.241","0.203","0.281","0.444","0.322","0.338","0.269","32","133","86.9","23.7","1983","77.3","74.45","78","285","294","-2.8","5.86","116","152","118","149","294","315","301"
"574",451661,"Josh Fields",2018,"574","100.0","0.196","0.126","0.226","0.322","0.251","0.300","0.239","28","143","90.0","25.7","2148","90.7","90.33","77","293","280","-0.4","6.05","110","155","117","146","299","319","298"
"571",669203,"Corbin Burnes",2018,"571","100.0","0.199","0.125","0.235","0.324","0.259","0.309","0.243","27","136","88.4","9.1","2608","91.2","91.05","90","281","286","-0.1","5.96","109","155","112","149","301","315","294"
"571",518566,"Taylor Cole",2018,"571","100.0","0.169","0.110","0.221","0.280","0.246","0.269","0.203","20","118","87.8","8.1","2245","89.1","89.74","91","264","302","0.6","6.63","112","152","109","148","295","320","303"
